date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:00	10106/10106	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/aliados/logo2.svg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/aliados/logo2.svg	(from https://flex-global.web.app/)
10:05:00	14724/14724	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/aliados/logo3.svg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/aliados/logo3.svg	(from https://flex-global.web.app/)
10:05:00	9611/9611	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/aliados/logo4.svg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/aliados/logo4.svg	(from https://flex-global.web.app/)
10:05:00	9302/9302	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/aliados/logo5.svg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/aliados/logo5.svg	(from https://flex-global.web.app/)
10:05:01	15619349/15619349	---M-Z	200	added ('OK')	video/quicktime	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/videos/FlexGlobal%20Horizontal.mov	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/videos/FlexGlobal%20Horizontal.qt	(from https://flex-global.web.app/)
10:05:01	593340/593340	---M-Z	200	added ('OK')	image/png	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/img_agente.png	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/img_agente.png	(from https://flex-global.web.app/)
10:05:01	4394/4394	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/_astro/chatBot.astro_astro_type_script_index_0_lang.C9qN_KGW.js	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/_astro/chatBot.astro_astro_type_script_index_0_lang.C9qN_KGW.js	(from https://flex-global.web.app/)
10:05:01	24780/24780	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/fg-full-blanco-dorado.svg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/fg-full-blanco-dorado.svg	(from https://flex-global.web.app/)
10:05:01	80295/80295	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/_astro/Layout.astro_astro_type_script_index_0_lang.BVBrtIci.js	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/_astro/Layout.astro_astro_type_script_index_0_lang.BVBrtIci.js	(from https://flex-global.web.app/)
10:05:01	22435/22435	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/fg-full-negro-dorado.svg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/fg-full-negro-dorado.svg	(from https://flex-global.web.app/)
